timestamp,distance,temperature,brightness
47127,4095,warm,73
52681,4095,warm,73
53285,4095,warm,73
53902,4095,warm,73
54517,4095,warm,73
55132,4095,warm,73
55714,4095,warm,73
56359,4095,warm,73
56972,4095,warm,73
57544,4095,warm,73
58116,4095,warm,73
58810,4095,warm,73
59392,4095,warm,73
60036,4095,warm,73
60660,4095,warm,73
61274,4095,warm,73
62485,444,cool,227
63523,4095,warm,73
64193,4095,warm,73
65151,4095,warm,73
65821,4095,warm,73
66793,4095,warm,73
67625,4095,warm,73
70475,4095,warm,73
71310,4095,warm,73
72950,4095,warm,73
74589,4095,warm,73
75174,4095,warm,73
75809,4095,warm,73
76429,4095,warm,73
77001,4095,warm,73
77587,4095,warm,73
78461,4095,warm,73
79045,4095,warm,73
79658,4095,warm,73
80272,4095,warm,73
80932,4095,warm,73
81956,4095,warm,73
82568,4095,warm,73
83180,4095,warm,73
83763,4095,warm,73
84417,4095,warm,73
85628,4095,warm,73
86202,4095,warm,73
86866,4095,warm,73
90603,4095,warm,73
91188,4095,warm,73
92047,4095,warm,73
92653,4095,warm,73
93615,4095,warm,73
94494,4095,warm,73
95070,4095,warm,73
95672,4095,warm,73
96702,4095,warm,73
97314,4095,warm,73
97909,4095,warm,73
98539,4095,warm,73
99153,4095,warm,73
100184,4095,warm,73
101023,4095,warm,73
102017,4095,warm,73
102601,4095,warm,73
103259,4095,warm,73
104071,4095,warm,73
105090,4095,warm,73
106125,4095,warm,73
107147,4095,warm,73
108171,4095,warm,73
109195,4095,warm,73
109818,4095,warm,73
110837,4095,warm,73
111419,4095,warm,73
112066,4095,warm,73
113096,4095,warm,73
114110,4095,warm,73
115137,4095,warm,73
116158,4095,warm,73
117182,4095,warm,73
117809,4095,warm,73
118815,4095,warm,73
119845,4095,warm,73
120678,4095,warm,73
121689,4095,warm,73
122264,4095,warm,73
122911,4095,warm,73
123495,4095,warm,73
124140,4095,warm,73
125170,4095,warm,73
126194,4095,warm,73
127059,4095,warm,73
128023,4095,warm,73
129061,4095,warm,73
130095,4095,warm,73
131110,4095,warm,73
132146,4095,warm,73
13111,4095,warm,73
15103,63,cool,227
15687,67,cool,227
16346,64,cool,227
16934,65,cool,227
17569,4095,warm,73
18199,4095,warm,73
19205,4095,warm,73
19777,4095,warm,73
20438,4095,warm,73
21010,4095,warm,73
22080,4095,warm,73
22658,4095,warm,73
23908,4095,warm,73
24947,4095,warm,73
25971,4095,warm,73
26999,4095,warm,73
27621,4095,warm,73
28226,4095,warm,73
29253,4095,warm,73
29846,4095,warm,73
33740,4095,warm,73
36199,4095,warm,73
37235,4095,warm,73
37808,4095,warm,73
40908,4095,warm,73
43376,4095,warm,73
45823,4095,warm,73
48688,4095,warm,73
54210,4095,warm,73
59133,161,cool,227
64651,4095,warm,73
67533,4095,warm,73
68431,4095,warm,73
72248,4095,warm,73
72872,4095,warm,73
73445,4095,warm,73
74360,4095,warm,73
75312,4095,warm,73
75896,4095,warm,73
76502,4095,warm,73
77169,4095,warm,73
78196,4095,warm,73
79410,4095,warm,73
80639,4095,warm,73
81679,4095,warm,73
82722,4095,warm,73
83295,4095,warm,73
83930,4095,warm,73
84509,4095,warm,73
2102,4095,warm,73
3292,4095,warm,73
4111,4095,warm,73
5079,4095,warm,73
6106,4095,warm,73
12277,4095,warm,73
13479,4095,warm,73
14057,4095,warm,73
14726,4095,warm,73
15740,4095,warm,73
16354,4095,warm,73
17380,4095,warm,73
18403,4095,warm,73
19433,4095,warm,73
20454,4095,warm,73
21276,4095,warm,73
21850,4095,warm,73
22453,139,cool,227
23073,138,cool,227
24134,139,cool,227
25162,131,cool,227
26178,4095,warm,73
27060,4095,warm,73
28017,4095,warm,73
28688,4095,warm,73
29667,4095,warm,73
30251,4095,warm,73
31148,4095,warm,73
31730,4095,warm,73
